scenario,total,ok,errors,success_rate_pct,p50_s,p95_s,p99_s,max_s,wall_clock_s,throughput_mbps
5MB x 1,1,1,0,100.0,0.8776955000066664,0.8776955000066664,0.8776955000066664,0.8776955000066664,0.8833021000027657,5.660577507949256
5MB x 5,5,5,0,100.0,1.1426596000092104,1.360769099992467,1.360769099992467,1.360769099992467,1.3685509000206366,18.267497394231388
5MB x 20,20,20,0,100.0,10.743565199984005,13.869273799995426,13.869273799995426,13.869273799995426,13.925571200001286,7.18103398157131
5MB x 75,75,75,0,100.0,22.432375799980946,31.356398500007344,31.422506900009466,31.422506900009466,31.879512000014074,11.763040789326839
30MB x 75,75,75,0,100.0,95.86703250001301,131.3667799999821,132.54378339997493,132.54378339997493,132.65273500001058,16.961580173976966
100MB x 75,75,67,8,89.33333333333333,308.8974940000044,382.57840510000824,383.78190909998375,383.78190909998375,384.3556360999937,19.513178149542746
