scenario,total,ok,errors,success_rate_pct,p50_s,p95_s,p99_s,max_s,wall_clock_s,throughput_mbps
5MB x 1,1,1,0,100.0,0.10439390002284199,0.10439390002284199,0.10439390002284199,0.10439390002284199,0.10791210000752471,46.33400702656468
5MB x 5,5,5,0,100.0,0.2273820000118576,0.280497200001264,0.280497200001264,0.280497200001264,0.2965822000114713,84.2936629340299
5MB x 20,20,20,0,100.0,0.8529341999965254,0.9996985000034329,0.9996985000034329,0.9996985000034329,1.0725413000036497,93.23650287374456
5MB x 75,75,75,0,100.0,2.8482434000179637,3.6995154000178445,3.8531931999896187,3.8531931999896187,3.965879600000335,94.55657705795414
30MB x 75,75,75,0,100.0,19.675510399974883,22.078573000006145,22.51771149999695,22.51771149999695,23.154936200007796,97.17150505468646
100MB x 75,75,74,1,98.66666666666667,73.69288380001672,86.21480479999445,88.33611380000366,88.33611380000366,90.25547160001588,83.09745511316657
