scenario,total,ok,errors,success_rate_pct,p50_s,p95_s,p99_s,max_s,wall_clock_s,throughput_mbps
5MB x 1,1,1,0,100.0,20.86918009998044,20.86918009998044,20.86918009998044,20.86918009998044,20.872610599995824,0.2395483773362303
5MB x 5,5,4,1,80.0,1.3921010000049137,1.473245000001043,1.473245000001043,1.473245000001043,1.4952854000148363,16.719216277877084
5MB x 20,20,20,0,100.0,4.700577200012049,5.377490500017302,5.377490500017302,5.377490500017302,5.4384399999980815,18.38762586330552
5MB x 75,75,75,0,100.0,17.99745150000672,20.486917899979744,20.57478669998818,20.57478669998818,20.666423300019233,18.145374966729296
30MB x 75,75,0,75,0.0,30.070953299989924,30.825152599980356,30.930634599993937,30.930634599993937,32.1604851000011,69.96163126904834
100MB x 75,75,0,75,0.0,30.96390530001372,32.06701320002321,32.324946399981854,32.324946399981854,38.195630299975164,196.35753988342685
